palabra,tipo,significado
ACOSAR,v.,"Perseguir, sin darle tregua ni reposo, a un animal o a una persona. / Perseguir, apremiar, importunar a alguien con molestias o requerimientos.
S. Hostigar, acechar, asediar, apurar, sitiar, acorralar
A. Sosegar, calmar, serenar, desistir, tranquilizar, tranquilar
C. El jefe debería de acosar a la nueva secretaria, terminará por ser denunciado."
ACRE,adj.,"Áspero y picante al gusto y al olfato. / Tratándose del genio o de las palabras, áspero y desabrido. / Calor febril acompañado de una sensación como de picor.
S. Picante, mordaz, agresivo, irritante, virulento.
A. Lene, bando, benévolo, ligero, grato.
C. La vid presenta un sabor acre, por lo tanto, aún está muy fresca para la vendimia.
(1) Medida equivalente a 40 áreas y 47 centiáreas."
ACRIMONIA,f.,"Aspereza de las cosas, especialmente al gusto o al olfato. / Agudeza del dolor. / Aspereza en el carácter o trato.
S. Acritud, agrura, irritación, mordacidad, hiel.
A. Ligereza, suavidad, dulzura, gracia, afabilidad.
C. La acrimonia del café cargado es su mayor característica."
ACRISOLAR,v.,"Depurar, purificar en el crisol por medio del fuego, el oro y otros metales. / Purificar, apurar. / Aclarar o apurar una cosa por medio de testimonios o pruebas.
S. Refinar, filtrar, limpiar.
A. Impurificar, contaminar, adulterar, mezclar, viciar.
C. Si decides acrisolar el oro le dará más valor."
ACUITAR,v.,"Poner en cuita o en apuro, afligir, estrechar.
S. Acongojar, apenar, angustiar, mortificar, atribular, enlutar, desolar.
A. Deleitar, alegrar, contentar, animar, agradar, placer.
C. Su muerte terminó por acuitar a toda la familia."
ACRITUD,f.,"Acrimonia. (aspereza de las cosas, especialmente al gusto o al olfato) / Estado en que se encuentra un cuerpo metálico que ha perdido su ductilidad y maleabilidad. 
S.  Aspereza, destemplanza, desabrimiento, irritación, acidez, rigor.
A. Dulzura, gracia, ternura, suavidad, afabilidad.
C. Nadie quiso beber la limonada a causa de la acritud del limón."
ACROMÁTICO,adj.,"Dicho de un orgánulo celular: Que no se tiñe con los colorantes usuales. / Dicho del cristal o de un sistema óptico: Que puede transmitir la luz blanca sin descomponerla en sus colores constituyentes.
S. Incoloro, descolorido, pálido, jipato, lívido, blanqueado, desteñido.
A. Colorido, variopinto, gama, tonalidad, tornasol, variedad, iridiscente.
C. Debido a una alteración genética el cuero del roedor era completamente acromático, no mostraba color alguno."
ACROMEGALIA,f.,"Enfermedad crónica debida a un exceso de secreción de hormona de crecimiento por la hipófisis, y que se caracteriza principalmente por un desarrollo extraordinario de las extremidades.
S. Gigantismo, tara, enormidad, monstruosidad, enfermedad, anomalía.
A. Enanismo, normalidad, salud.
C. Al bebé de Marcela le detectaron acromegalia craneal, por ello, el doctor recomendó cirugía inmediata o si no, el cuello de la criatura terminará por quebrarse debido al peso de la cabeza."
ACUACHE,m.,"Cuate (amigo íntimo).
S. Amigo, camarada, aliado, compañero, colaborador, coadjutor, partidario,  socio, cofrade, afiliado, cómplice, colaborador, compadre.
A. Enemigo, émulo, contrincante, opuesto, adverso, discrepante, disidente, rival, antagonista, antípoda.
C. Anda con su acuache por todos lados y es al único que le cuenta todos sus secretos."
ACUEDUCTO,m.,"Conducto artificial por donde va el agua a lugar determinado, y especialmente el que tiene por objeto abastecer de aguas a una población. 
S. Conducto, canal, cauce, acequia, canalillo, zanja, desagüe, alcantarilla, sumidero, regata, tubo, tubería, canalón.
C. Podemos observar aún hoy cómo los antiguos romanos transportaban agua a través del acueducto que surcaba la ciudad."
ACUÑAR,v.,"Imprimir y sellar una pieza de metal, especialmente una moneda o una medalla, por medio de cuño o troquel. / Hacer, fabricar moneda. / Dar forma a expresiones o conceptos, especialmente cuando logran difusión o permanencia.
S. Imprimir, grabar, prensar, ilustrar, fijar, sellar, cincelar, esculpir.
C. El Banco de la Nación estableció acuñar una hermosa moneda con la figura del Tumi.
(2) Meter cuñas. (Pieza de madera o de metal terminada en ángulo diedro muy agudo.) / ajustar unas cosas con otras, encajarlas entre sí."
ACUOSO,adj.,"Abundante en agua. / Parecido a ella. / De agua o relativo a ella. / Fruta de mucho jugo. 
S. Húmedo, empapado, mojado, jugoso, licuado, pastoso, salpicado, caldoso, acuático, calado, bañado.
A. Seco, árido, resecado, desecado, oreado, drenado, desaguado.
C. Es un terreno acuoso repleto de filtraciones y, por lo tanto, cenagoso."
ACÚSTICO,adj.,"Perteneciente o relativo al órgano del oído. / Favorable para la producción o propagación del sonido. / Característica de un recinto referida a la calidad de la recepción de los sonidos.
S. Auditivo, sonoro, vibrante, melodioso, resonante, acústica, canoro, melódico, cadencioso, musical, afinado, homófono.
A. Disonante, cacofónico, inarmónico, desentonado, discordante, desafinado, discorde, estridente, sordo.
C. Gracias al aparato acústico el anciano volvió a escuchar."
ADAGIO,m.,"Sentencia breve, comúnmente recibida, y, la mayoría de las veces, moral.
S. Refrán, sentencia, aforismo, proverbio, apotegma.
C. Un viejo adagio manifiesta: “El mal triunfa cuando los justos callan”.
(2) Composición, o música con movimiento lento."
ADALID,m.,"Caudillo militar. / Guía y cabeza, o muy señalado individuo de algún partido, corporación o escuela. 
S. Guía, líder, dirigente, director, principal, capital, capitoste, regente, encargado, paladín, cabecilla
A. Seguidor, correligionario, partidario, adicto, sectario, hincha, simpatizante, prosélito, secuaz, discípulo
C. El adalid del partido político es quien se lanzará para la presidencia."
ADAMAR,v.,"Cortejar, requebrar. / Amar con vehemencia. / Enamorarse de alguien o de algo.
S. Galantear, enamorar, rondar, conquistar, halagar, flirtear, engatusar, seducir, coquetear, ligar, piropear, chicolear.
A. Despreciar, aborrecer, abominar, repeler, repudiar.
C. Pedro no se cansaba de adamar a Elena hasta que por fin ella accedió ser su novia."
ADÁN,adj.,"Hombre desaliñado, sucio o haraposo. / Apático y descuidado.
S. Desaliñado, sucio, harapiento, desarreglado, pingajoso, roto, rompegalas, desguañangado.
A. Limpio, ataviado, arreglado, acicalado, mondo
C. Mira nada más que sucio te viniste a la fiesta, ¡estas hecho todo un adán!"
ADARGA,f.,"Escudo de cuero, ovalado o de figura de corazón.
S. Escudo, égida, broquel, cobijo, protección, defensa.
A. Arremetida, ataque, embestida, asalto, agresión.
C. Homero cuenta que Aquiles poseía una adarga indestructible que lo cubría de la flechas del enemigo."
ADEFESIO,m.,"Despropósito, disparate, extravagancia. / Traje, prenda de vestir o adorno ridículo y extravagante. / Persona o cosa ridícula, extravagante o muy fea.
S. Desatino, absurdo, dislate, desbarro, insensatez, astracanada.
A. Sensatez, cordura, juicio, reflexión, prudencia.
C. Se ve tan adefesio con ese traje ridículo."
ADHERENTE,adj.,"Anexo, unido o pegado a una cosa. / Requisito o instrumento necesario para alguna cosa. / Adhesivo, sustancia que sirve para unir otras.
S. Fijado, consolidado, engomado, pegado, unido, sujeto, soldado.
A. Suelto, aflojado, desprendido, despegado, desajustado, desanudado.
C. La cola sintética es el mejor adherente para reparar los papeles rotos."
ADICIÓN,f.,"Acción y efecto de añadir. / Añadidura que se hace, o parte que se aumenta en alguna obra o escrito. / Operación de sumar. 
S. Apéndice, añadidura, suma, aumento, anexión, agregación, acrecimiento, aditamento, complemento, añadido.
A. Resta, sustracción, disminución, diferencia, escamoteo, descuento, detracción.
C. Hubo una adición sustantiva de palabras que hicieron demasiado oneroso su discurso.
(2) Acción y efecto de adir (aceptar la herencia tácita o expresamente)."
ADIPOSO,adj.,"Grasiento, cargado o lleno de grasa o gordura; de la naturaleza de la grasa. 
S. Gordo, obeso, graso, pícnico, grasoso, grasiento, grueso.
A. Delgado, cenceño, escuálido, chupado, desecado, descarnado, esquelético.
C. Tejido adiposo fue extraído durante la liposucción."
ADITAMENTO,m.,"Añadidura.
S. Accesorio, adición, complemento, apéndice, suplemento, suma
A. Resta, sustracción, disminución, diferencia, escamoteo, descuento, detracción
C. Un pequeño aditamento agregado como cláusula en el contrato fue la causa que no deseara firmar."
ADJURAR,v.,"Conjurar, rogar encarecidamente.
S. Rogar, suplicar, implorar, exhortar, reclamar, exigir, invocar
A. Acceder, consentir, convenir, permitir, conceder, otorgar, asentir
C. Hasta se puso de rodillas para abjurar que lo dejaran libre."
ADMINÍCULO,m.,"Aquello que sirve de ayuda o auxilio para una cosa o intento. / Cada uno de los objetos que se llevan a prevención para servirse de ellos en caso de necesidad. 
S. Avío, aparejo, arreo, enseres, utensilios, objeto, artefacto, aparato
A. Estorbo, molestia, atasco, escollo, tropiezo, rémora, resistencia, entorpecimiento
C. El nuevo sistema sirvió de adminículo para mejorar todo el programa."
ADMONICIÓN,f.,"Amonestación, reconvención, acción de amonestar
S. Amonestación, reconvención, regaño, sermón, reprensión, reprimenda, reproche, rapapolvo.
A. Congratulación, felicitación, albricias, parabién, enhorabuena.
C. Martha se llevó tremenda admonición cuando su padre se enteró que salió sin su permiso."
ADNATO,adj.,"Que nace y crece juntamente con otra cosa a la que está adherido.
S. Adherido, pegado, junto, adjunto, inserto, aglutinado, incluido.
A. Separado, alejado, retirado, aislado, solo.
C. Un producto transgénico suele ser adnato entre varias especies."
ADOBAR,v.,"Disponer, preparar, arreglar, aderezar. / guisar (preparar los alimentos sometiéndolos a la acción del fuego). / Curtir las pieles y componerlas para varios usos. 
S. Aderezar,  aliñar, condimentar, preparar, sazonar, arreglar, componer, ataviar, condimentar.
A. Desarreglar, desazonar, desaborar, desagradar, desabrir.
C. Para adobar el pavo durante la navidad hay que comprar todo tipo de condimentos."
ADOCENAR,v.,"Ordenar por docenas, o dividir en docenas. / Incluir a alguien entre gentes de calidad inferior. / Volver a alguien mediocre o vulgar. 
S. Juntar, amontonar, agrupar, apeñuscar, apeñar, congregar, apilar, apandillar.
A. Separar, dividir,  apartar, disgregar, desbaratar, desunir, desorganizar.
C. Los malos amigos y pésimos docentes terminaron por adocenar a ese brillante muchacho."
ADONIS,adj.,"Joven hermoso.
S. Bello, galán, serafín, hermoso, venusto, lindo, pulcro, majo.
A. Feo, picio, horrible, grotesco, fachoso, ridículo.
C. Yo a la edad de usted era un adonis. De rodillas se me ponían las chavalas para que les hiciera un favor, cuando no un hijo."
ADOSAR,v.,"Poner una cosa, por su espalda o por los lados, contigua a otra o apoyada en ella. / En la  Heráldica, colocar espalda con espalda.
S. Arrimar, acercar, aproximar, yuxtaponer, avecinar, pegar, juntar
A. Apartar, alejar, separar, relegar, retirar, desechar
C. El ingeniero vio conveniente adosar las paredes de ambos edificios, uno en apoyo del otro, para así obtener una construcción más estable."
ADQUIRIR,v.,"Ganar, conseguir con el propio trabajo o industria. / Comprar.
S. lograr, obtener, alcanzar, conquistar, conseguir
A. Perder, derrochar, desaprovechar, vender, ofrecer, transferir.
C. Algunos ganaderos de esta zona tienen la costumbre de viajar a Piura para. adquirir directamente de los mayoristas el producto."
ADSCRIBIR,v.,"Inscribir, contar entre lo que corresponde a alguien o algo. / Agregar a una persona al servicio de un cuerpo o destino.
S. Agregar, anexar, juntar, vincular, asignar, destinar, atribuir, registrar, catalogar, asentar.
A. Rechazar, expulsar, anatemizar, desalojar, destituir, despedir, desterrar, excretar, proscribir.
C. Se tomó la decisión de adscribir a Juan al curso de informática."
ADUMBRAR,v.,"Sombrear (poner sombra en un dibujo).
S. Oscurecer, ennegrecer, asombrar, teñir, renegrear, negrear, cerrarse, nublar, apagar, eclipsar, opacar, enlutar.
A. Clarear, despejar, blanquear, emblanquecer, mostrar, manifestar.
C. Para adumbrar la imagen el artista utilizó un carboncillo."
ADUNAR,v.,"Unir, juntar, congregar.
S. Juntar, reunir, aglomerar, juntar, unificar.
A. Desperdigar, diseminar, separar, derramar, difundir.
C. El sacerdote vio conveniente adunar a toda su feligresía en un solo salón."
ADUSTO,adj.,"Quemado, tostado, ardiente. / Poco tratable, huraño, malhumorado. / Seco, severo, desabrido.
S. Hosco, áspero, antipático, arisco, insociable, retraído, brusco, desapacible, esquivo.
A. Frígido, glacial,  sociable, afable, tratable, condescendiente,  transigente, complaciente, servicial, amable .
C. Dado lo adusto de su trato era casi imposible entablar una conversación con ella."
ADVENEDIZO,adj.,"Extranjero o forastero, que no es natural u originario del lugar. / Persona que, sin empleo u oficio, va a establecerse en un país o en un pueblo. / De origen humilde que, habiendo reunido cierta fortuna, pretende figurar entre gentes de más alta condición social. / Gentil o mahometano convertido al cristianismo.
S. Forastero, extranjero, foráneo, exótico, peregrino, ajeno, advenidero, adventicio.
A. Oriundo, natural, originario, nativo, indígena, vernáculo.
C. El turista advenedizo no comprendía el idioma de los naturales."
ADVERSO,adj.,"Contrario, enemigo, desfavorable. / Opuesto materialmente a otra cosa, o colocado enfrente de ella.
S. enemigo, émulo, antagonista, adversario, opuesto, hostil, contraproducente, disidente.
A. Amigo, camarada, aliado, coadjutor, adicto, colaborador.
C. El clima siempre es adverso para quien pretenda subir la escarpada montaña."
ADYACENTE,adj.,"Situado en la inmediación o proximidad de otra cosa.
S. Contiguo, inmediato, lindante, colindante, limítrofe, fronterizo, vecino. 
A. Lejano, distante, apartado, ajeno.
C. No era esa la casa que debías visitar, sino la adyacente, la de su vecino."
AFABLE,adj.,"Agradable, dulce, suave en la conversación y el trato. / Que se puede decir o expresar con palabras.
S. Amable, cordial, afectuoso, simpático, gentil, efusivo.
A. Descortés, inculto, despreciable, soez, bajo, ruin.
C. El expositor conquistó al público con un trato afable y moderado."
AFAMAR,v.,"Hacer famoso, dar fama.
S. acreditar, enaltecer, glorificar, exaltar, encumbrar, realzar, aplaudir, encarecer, engrandecer
A. Vulgarizar, ofender, insultar, injuriar, afrentar, vejar, agraviar, escarnecer
C. Recordar a los héroes de la patria es afamar su memoria."
AFÁN,m.,"Trabajo excesivo, solícito y congojoso. / Trabajo corporal, como el de los jornaleros. / Fatiga, penalidad, apuro. / Solicitud, empeño, pretensión, deseo, anhelo vehemente. / Prisa, diligencia, premura.
S.  Encargo, fajina, faena, labor, tarea, quehacer, ocupación, actividad, obra, trabajito.
A. Descanso, ocio, respiro, alivio, siesta, paro, suspensión, alto.
C. Terminar los informes a tiempo le trajo el más pesado afán en toda su carrera."
